/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:4.6 CYCLES:264 ICOUNT:58 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:2.6 CYCLES:2738 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:2.6 CYCLES:2661 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:2.5 CYCLES:2570 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:2.6 CYCLES:2640 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:2.6 CYCLES:2724 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:2.6 CYCLES:2738 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:2.6 CYCLES:2731 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:2.7 CYCLES:2773 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:2.6 CYCLES:2668 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:2.6 CYCLES:2654 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2023/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:2.6 CYCLES:2738 ICOUNT:1035 IHITRATE: 0 DHITRATE: 0
